hour_of_day,date,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-03-27,Subscriber,74,3079,589.9344978165939,135095,229
00,2019-03-28,Customer,300,2557,1094.1,10941,10
00,2019-03-28,Subscriber,62,2728,626.4306569343066,171642,274
00,2019-03-29,Customer,391,3468,1220.0277777777778,43921,36
00,2019-03-29,Subscriber,65,27128,681.7247706422019,297232,436
00,2019-03-30,Customer,63,409284,5413.476190476191,568415,105
00,2019-03-30,Subscriber,61,41269,768.8608058608058,629697,819
00,2019-03-31,Customer,188,159386,4476.991452991453,523808,117
00,2019-03-31,Subscriber,66,101360,919.5539772727273,647366,704
00,2019-04-01,Customer,89,3273,986.6315789473684,18746,19
00,2019-04-01,Subscriber,61,7177,578.5194174757281,119175,206
00,2019-04-02,Customer,239,55254,3481.68,87042,25
00,2019-04-02,Subscriber,65,3038,605.0314960629921,153678,254
00,2019-04-03,Customer,282,1261,562.9,5629,10
00,2019-04-03,Subscriber,62,150692,1381.0660792951542,313502,227
00,2019-04-04,Customer,294,2066,1108.5625,35474,32
00,2019-04-04,Subscriber,84,3137,641.3115264797508,205861,321
00,2019-04-05,Customer,83,24590,1571.9302325581396,67593,43
00,2019-04-05,Subscriber,75,7191,671.3379120879121,244367,364
00,2019-04-06,Customer,133,37815,2719.608695652174,62551,23
00,2019-04-06,Subscriber,62,21190,733.314393939394,193595,264
00,2019-04-07,Customer,145,35345,1774.120218579235,324664,183
00,2019-04-07,Subscriber,62,878108,2058.1762589928057,1716519,834
00,2019-04-08,Customer,156,1685198,49512.34285714286,1732932,35
00,2019-04-08,Subscriber,63,28084,748.109756097561,184035,246
00,2019-04-09,Customer,106,2272,961.4871794871794,37498,39
00,2019-04-09,Subscriber,63,61182,831.9248554913295,287846,346
00,2019-04-10,Customer,248,4632,1186.225,47449,40
00,2019-04-10,Subscriber,61,2700,589.659649122807,168053,285
00,2019-04-11,Customer,122,2115,995.5625,31858,32
00,2019-04-11,Subscriber,68,73026,1001.444089456869,313452,313
00,2019-04-12,Customer,254,51864,2003.8,90171,45
00,2019-04-12,Subscriber,62,3010,585.4697802197802,213111,364
00,2019-04-13,Customer,281,3238,947.0454545454545,20835,22
00,2019-04-13,Subscriber,71,3161,643.5429864253393,142223,221
00,2019-04-14,Customer,139,64153,2461.559585492228,475081,193
00,2019-04-14,Subscriber,61,263606,1616.908442330559,1359820,841
00,2019-04-15,Customer,304,4777,1309.3529411764705,44518,34
00,2019-04-15,Subscriber,101,3030,593.5048076923077,123449,208
00,2019-04-16,Customer,202,48606,7818.545454545455,86004,11
00,2019-04-16,Subscriber,82,2434,575.3296089385475,102984,179
00,2019-04-17,Customer,76,3907,1173.4,35202,30
00,2019-04-17,Subscriber,81,1259244,5837.983402489626,1406954,241
00,2019-04-18,Customer,121,5496,1354.948717948718,52843,39
00,2019-04-18,Subscriber,73,76348,909.2354948805461,266406,293
00,2019-04-19,Customer,168,24232,1560.4545454545455,102990,66
00,2019-04-19,Subscriber,71,34340,774.2281059063137,380146,491
00,2019-04-20,Customer,226,4292,1207.7317073170732,99034,82
00,2019-04-20,Subscriber,63,140204,871.4585635359116,473202,543
00,2019-04-21,Customer,70,3013,1153.0581395348838,99163,86
00,2019-04-21,Subscriber,61,40456,849.3923076923077,441684,520
00,2019-04-22,Customer,78,48694,2809.7654320987654,227591,81
00,2019-04-22,Subscriber,68,138449,1239.1807692307693,322187,260
00,2019-04-23,Customer,139,2996,1124.4929577464789,79839,71
00,2019-04-23,Subscriber,84,11294,720.8536585365854,206885,287
00,2019-04-24,Customer,145,4187,1129.5686274509803,57608,51
00,2019-04-24,Subscriber,83,2783,694.0173913043478,159624,230
00,2019-04-25,Customer,137,27205,1417.0961538461538,221067,156
00,2019-04-25,Subscriber,62,5294,708.6870588235294,301192,425
00,2019-04-26,Customer,262,59246,2216.5081967213114,135207,61
00,2019-04-26,Subscriber,62,38825,778.2397094430993,321413,413
00,2019-04-27,Customer,287,11262,1831.7636363636364,100747,55
00,2019-04-27,Subscriber,91,4070,700.2671568627451,285709,408
00,2019-04-28,Customer,221,37652,1801.0967741935483,167502,93
00,2019-04-28,Subscriber,62,109828,958.0840064620355,593054,619
00,2019-04-29,Customer,134,2685,897.9142857142857,31427,35
00,2019-04-29,Subscriber,71,2588,581.5916030534352,152377,262
00,2019-04-30,Customer,301,184469,14486.5,202811,14
00,2019-04-30,Subscriber,69,3810,631.8118279569892,117517,186
00,2019-05-01,Customer,190,33052,1804.0666666666666,81183,45
00,2019-05-01,Subscriber,67,3581,678.5063694267516,213051,314
00,2019-05-02,Customer,178,8552,1293.608695652174,59506,46
