hour_of_day,date,gender,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-05-04,0,171,2670,1018.2083333333334,24437,24
00,2019-05-04,1,74,3034,683.6970509383378,255019,373
00,2019-05-04,2,154,83692,2006.4583333333333,192620,96
00,2019-05-05,0,152,34574,1641.5915492957747,116553,71
00,2019-05-05,1,74,148201,1061.8519163763067,609503,574
00,2019-05-05,2,77,2535,728.7591240875912,99840,137
00,2019-05-06,0,106,2237,916.1,9161,10
00,2019-05-06,1,72,2255,630.6106194690266,71259,113
00,2019-05-06,2,139,9265,980.0,18620,19
00,2019-05-07,0,195,3737,1211.5217391304348,27865,23
00,2019-05-07,1,77,2658,725.6772908366534,182145,251
00,2019-05-07,2,114,2404,784.672131147541,47865,61
00,2019-05-08,0,125,1832,777.0,22533,29
00,2019-05-08,1,83,3003,662.1074074074074,178769,270
00,2019-05-08,2,69,3206,747.6071428571429,41866,56
00,2019-05-09,0,183,47382,3480.0416666666665,83521,24
00,2019-05-09,1,68,5633,756.2341597796143,274513,363
00,2019-05-09,2,78,27314,1127.551282051282,87949,78
00,2019-05-10,0,105,3038,1244.4333333333334,37333,30
00,2019-05-10,1,63,3593,761.8041237113403,295580,388
00,2019-05-10,2,148,2608,697.3611111111111,50210,72
00,2019-05-11,0,108,4488,1238.8840579710145,85483,69
00,2019-05-11,1,72,47657,975.0071428571429,682505,700
00,2019-05-11,2,110,9048,821.9834254143647,148779,181
00,2019-05-12,0,91,6598,1414.1573033707866,125860,89
00,2019-05-12,1,78,3493,737.8917609046849,456755,619
00,2019-05-12,2,94,7796,896.5217391304348,144340,161
00,2019-05-13,0,188,2554,1050.7142857142858,7355,7
00,2019-05-13,1,71,2160,612.3521126760563,86954,142
00,2019-05-13,2,106,1851,568.3913043478261,13073,23
00,2019-05-14,0,195,1861,662.7142857142857,4639,7
00,2019-05-14,1,70,3853,616.7927461139897,119041,193
00,2019-05-14,2,67,2307,827.9655172413793,24011,29
00,2019-05-15,0,401,1596,1015.6666666666666,3047,3
00,2019-05-15,1,75,22035,721.3314285714285,126233,175
00,2019-05-15,2,182,2429,971.3461538461538,25255,26
00,2019-05-16,0,183,5270,1239.103448275862,35934,29
00,2019-05-16,1,75,12575,764.9421965317919,264670,346
00,2019-05-16,2,81,243173,3823.6233766233768,294419,77
00,2019-05-17,0,88,39116,2645.21875,169294,64
00,2019-05-17,1,66,5625,816.2762645914397,419566,514
00,2019-05-17,2,119,21078,1249.4583333333333,149935,120
00,2019-05-18,0,96,34648,1565.0235294117647,133027,85
00,2019-05-18,1,72,28210,963.176724137931,670371,696
00,2019-05-18,2,89,45353,1096.2185792349726,200608,183
00,2019-05-19,0,158,38053,1974.0,225036,114
00,2019-05-19,1,67,6539,814.6431924882629,520557,639
00,2019-05-19,2,66,2811,881.0430107526881,163874,186
00,2019-05-20,0,94,31189,2075.9,62277,30
00,2019-05-20,1,91,2899,634.1923076923077,115423,182
00,2019-05-20,2,180,2079,687.560975609756,28190,41
00,2019-05-21,0,138,11608,1993.2666666666667,89697,45
00,2019-05-21,1,87,8099,867.2057142857143,303522,350
00,2019-05-21,2,80,26531,1215.0430107526881,112999,93
00,2019-05-22,0,129,6151,1675.14,83757,50
00,2019-05-22,1,66,21002,768.185294117647,261183,340
00,2019-05-22,2,89,2700,802.6206896551724,46552,58
00,2019-05-23,0,92,23892,1723.948275862069,99989,58
00,2019-05-23,1,64,119743,1091.5286041189931,476998,437
00,2019-05-23,2,120,3692,852.1284403669724,92882,109
00,2019-05-24,0,95,3861,1383.2545454545455,76079,55
00,2019-05-24,1,67,33410,986.214446952596,436893,443
00,2019-05-24,2,140,3256,1021.9146341463414,83797,82
00,2019-05-25,0,185,41924,2441.9220779220777,188028,77
00,2019-05-25,1,66,31072,842.4830188679246,446516,530
00,2019-05-25,2,105,3694,897.8206896551724,130184,145
00,2019-05-26,0,92,40174,1557.822033898305,183823,118
00,2019-05-26,1,67,721477,2316.727091633466,1162997,502
00,2019-05-26,2,86,4621,862.9461538461538,112183,130
00,2019-05-27,0,147,5802,1448.8,173856,120
00,2019-05-27,1,71,5575,866.8686440677966,409162,472
00,2019-05-27,2,214,196003,2685.027777777778,289983,108
00,2019-05-28,0,191,651913,9633.975,770718,80
00,2019-05-28,1,62,3061,741.753125,237361,320
00,2019-05-28,2,129,2858,866.5217391304348,59790,69
00,2019-05-29,0,96,5239,1258.5526315789473,47825,38
00,2019-05-29,1,88,9201,745.0858208955224,199683,268
00,2019-05-29,2,145,2453,880.7173913043479,40513,46
00,2019-05-30,0,105,2164,913.3333333333334,16440,18
00,2019-05-30,1,62,29069,823.6531986531986,244625,297
00,2019-05-30,2,63,10940,711.1470588235294,48358,68
00,2019-05-31,0,217,1621,673.3846153846154,8754,13
00,2019-05-31,1,124,36930,1002.9254658385094,161471,161
00,2019-05-31,2,92,2105,562.7142857142857,11817,21
00,2019-06-01,0,125,6032,1243.2993630573249,195198,157
00,2019-06-01,1,86,138802,1087.0160183066362,950052,874
00,2019-06-01,2,61,57743,1196.195652173913,330150,276
00,2019-06-02,0,77,26116,1496.3424657534247,218466,146
00,2019-06-02,1,66,31320,868.2818955042527,714596,823
00,2019-06-02,2,79,152311,1681.552511415525,368260,219
00,2019-06-03,0,273,4504,1169.8536585365853,47964,41
00,2019-06-03,1,64,5252,712.6978417266187,198130,278
00,2019-06-03,2,118,2061,709.5479452054794,51797,73
00,2019-06-04,0,96,548711,15951.823529411764,813543,51
00,2019-06-04,1,62,6626,763.7492537313433,255856,335
00,2019-06-04,2,103,7750,955.0281690140845,67807,71
00,2019-06-05,0,74,3478,1080.1666666666667,51848,48
00,2019-06-05,1,71,4381,761.1935483870968,306761,403
00,2019-06-05,2,118,2761,728.463768115942,50264,69
00,2019-06-06,0,93,4994,1120.388888888889,40334,36
00,2019-06-06,1,64,8354,745.0202702702703,330789,444
00,2019-06-06,2,81,3000,751.1666666666666,67605,90
00,2019-06-07,0,112,33262,1695.5479452054794,123775,73
00,2019-06-07,1,89,500233,2390.055267702936,1383842,579
00,2019-06-07,2,73,6065,1113.1560283687943,156955,141
00,2019-06-08,0,210,93170,2038.4,295568,145
00,2019-06-08,1,63,5280,845.3964071856287,705906,835
00,2019-06-08,2,62,8097,922.9694323144105,211360,229
00,2019-06-09,0,110,30075,1563.92,195490,125
00,2019-06-09,1,72,51176,892.3289986996099,686201,769
00,2019-06-09,2,78,4250,961.3636363636364,211500,220
00,2019-06-10,0,231,123096,4825.307692307692,188187,39
00,2019-06-10,1,71,26873,915.6,311304,340
00,2019-06-10,2,67,63786,1518.6941176470589,129089,85
00,2019-06-11,0,187,10081,1683.625,40407,24
